Age Group,Country,What is your gender? [Woman],What is your gender? [Man],What is your gender? [Non-binary],What is your gender? [Prefer not to say],What is your gender? [Other],What is the highest level of education you have completed?,What is the highest level of education you have completed? [Other],Field of Education
18 - 24 years old,poland,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Some college,,Prefer not to say
18 - 24 years old,portugal,No,Yes,No,No,,Some college,,"I have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,poland,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,poland,Yes,No,No,No,,Professional degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,italy,Yes,No,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,Yes,No,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,greece,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,poland,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,poland,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,hungary,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,Some graduate school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,finland,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Some college,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,portugal,No,Yes,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,poland,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,italy,Yes,No,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,italy,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,greece,No,Yes,No,No,,"Trade, technical, or vocational training",,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,italy,No,Yes,No,No,,Doctorate,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,Other,im in my last year of bachelors,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,poland,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,portugal,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,italy,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,Prefer not to say
25 - 34 years old,portugal,Yes,No,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,Yes,No,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,hungary,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,poland,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,hungary,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,Yes,No,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,poland,No,Yes,No,No,,Some graduate school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,italy,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,germany,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,Some college,,Prefer not to say
18 - 24 years old,poland,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,No,Yes,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,switzerland,No,No,Yes,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Some college,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,denmark,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,italy,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,spain,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,germany,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,slovenia,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,hungary,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,spain,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,poland,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,hungary,No,Yes,No,No,,"Trade, technical, or vocational training",,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,hungary,Yes,No,No,No,,"Trade, technical, or vocational training",,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,italy,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,greece,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Some college,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,hungary,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,austria,No,Yes,No,No,,Prefer not to say,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,hungary,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,italy,Yes,No,No,No,,Some college,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,germany,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,estonia,Yes,No,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,"Trade, technical, or vocational training",,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,germany,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,greece,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,slovenia,Yes,No,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,spain,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,poland,Yes,No,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,poland,Yes,No,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,portugal,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,belgium,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,Some high school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,france,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,spain,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,finland,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,italy,Yes,No,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Some college,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,slovenia,No,Yes,No,No,,Some college,,Prefer not to say
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,hungary,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,estonia,Yes,No,No,No,,"Trade, technical, or vocational training",,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,italy,No,Yes,No,No,,Some college,,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,italy,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,greece,Yes,No,No,No,,"Trade, technical, or vocational training",,"I have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,denmark,Yes,No,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,No,Yes,No,No,,Bachelor's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,spain,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,portugal,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,italy,Yes,No,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,spain,Yes,No,No,No,,"Trade, technical, or vocational training",,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,germany,No,Yes,No,No,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,germany,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,netherlands,Yes,No,No,No,,Master's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
35 - 44 years old,germany,No,Yes,No,No,,Professional degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,germany,No,Yes,No,No,,High school,,"I have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,germany,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,germany,No,No,No,Yes,,Master's degree,,"I have an education in, or work in, the field of computer science, engineering, or IT."
45 - 54 years old,germany,No,Yes,No,No,,"Trade, technical, or vocational training",,"I have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,germany,Yes,No,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,poland,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,germany,Yes,No,No,No,,"Trade, technical, or vocational training",,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,germany,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,netherlands,No,Yes,No,No,,Bachelor's degree,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
25 - 34 years old,netherlands,No,Yes,No,No,,Some college,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,netherlands,No,No,Yes,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
18 - 24 years old,germany,No,Yes,No,No,,High school,,"I do not have an education in, or work in, the field of computer science, engineering, or IT."
